Test,R,Score,MaxScore,Energy,DefaultEnergy
R075,90,5996,6000,20598341664,32398180997784
R076,100,5996,6000,31436799158,47893565496516
R077,100,5976,6000,43248290341,11100043933828
R078,100,5986,6000,36159654018,16685598129172
R079,100,5991,6000,26824725837,19329709861208
R080,100,5981,6000,49278494719,16325507841648
R081,100,5982,6000,29541186859,10120273342252
R082,100,5993,6000,11422631583,10952053628052
R083,100,5990,6000,15539194649,10218283557336
R084,100,5985,6000,42576510052,17263548697196
R085,100,5990,6000,29973591251,18272539348888
R086,120,5984,6000,195659054670,74169240911512
R087,120,5972,6000,386941097555,83240932937556
R088,120,5995,6000,64910302368,80819174314164
R089,120,5987,6000,373017825270,174385467448632
R090,120,5995,6000,122000894745,175058388656704
R091,120,5973,6000,54244256479,12271269472204
R092,120,5977,6000,46778038962,12271268963332
R093,120,5998,6000,53313309530,172434467984732
R094,120,5996,6000,109008569409,171335342765572
R095,120,5993,6000,109002506998,101715722950068
R096,120,5995,6000,70303923284,85131383478540
R097,120,5995,6000,79162840832,97984967444356
R098,120,5996,6000,110380572510,172693046064348
R099,130,6992,7000,75339598636,68602195246728
R100,150,6994,7000,301436644017,355068355203024
R101,150,6995,7000,436450865498,679044083389024
R102,150,6996,7000,387322755079,678475535798176
R103,160,6998,7000,121484432986,502688184265176
R104,160,6993,7000,92571248580,100610992104084
R105,180,6995,7000,791278345754,1116675176577360
R106,180,6994,7000,835142598520,1106801833387176
R107,180,6995,7000,676537537196,1116675218204016
R108,180,6995,7000,676046318743,1106801873162664
R109,180,6992,7000,856127359640,826711857650032
R110,180,6993,7000,811771888421,826711855798864
R111,200,6991,7000,2221668430981,1863559177499028
R112,200,6995,7000,1307580338407,2045196711997860
R113,200,6998,7000,957271764912,3848350617190076
R114,200,6996,7000,1497385592488,2940902753713332
R115,220,6998,7000,1434804059832,6960283999366484
